NAME,AGE,GENDER,PERCENT,PASS/FAIL,PUNCTUALITY,BEHAVIOUR,DEPARTMENT,DISCIPLINE SCORE,SEMESTER,ARREARS,SPORTS,INTERNSHIP,PROJECTS,TARGET
Swathi,18,Female,66,Pass,Late,Excellent,CSE,7,5,0,NO,1,1,0
Soundarya,20,Female,36,Fail,On Time,Average,MECH,4,4,2,NO,0,0,1
Manoj,19,Male,35,Fail,Late,Poor,CSE,5,4,2,NO,1,1,1
Sathya,17,Female,43,Fail,On Time,Poor,MECH,7,4,3,YES,2,0,1
Saran,18,Male,45,Fail,On Time,Poor,ECE,8,4,2,YES,1,0,1
Ashwin,18,Male,39,Fail,On Time,Average,CSE,6,5,2,NO,0,0,1
Priya,18,Female,73,Pass,On Time,Average,MECH,7,5,0,NO,1,1,0
Aravind,18,Male,83,Pass,Late,Excellent,EEE,5,4,0,NO,1,2,0
Uday,20,Male,84,Pass,On Time,Average,IT,7,3,0,YES,1,2,0
Harini,18,Female,36,Fail,On Time,Average,ECE,8,5,2,NO,0,0,1
Anand,19,Male,62,Pass,On Time,Good,ECE,5,4,0,NO,1,1,0
Shalini,17,Female,88,Pass,Late,Average,MECH,4,5,0,YES,1,1,0
Preethi,17,Female,70,Pass,On Time,Excellent,CSE,7,3,0,NO,0,1,0
Sahana,17,Female,36,Fail,On Time,Average,EEE,7,5,2,NO,0,0,1
Ravi,18,Male,46,Fail,On Time,Poor,IT,7,3,2,NO,0,0,1
Yamini,17,Female,90,Pass,On Time,Good,CSE,7,4,0,YES,1,2,0
Saravanan,18,Male,65,Pass,On Time,Good,MECH,5,5,0,YES,0,1,0
Gokul,19,Male,98,Pass,Late,Average,CSE,8,3,0,NO,2,2,0
Surya,18,Male,49,Fail,On Time,Poor,CSE,5,5,2,NO,0,0,1
Anusha,19,Female,60,Pass,On Time,Average,MECH,5,4,0,YES,1,0,0
Mahesh,17,Male,36,Fail,Late,Average,IT,8,5,2,YES,0,1,1
Deepa,18,Female,41,Fail,Late,Average,ECE,4,4,2,YES,1,0,1
Revathi,20,Female,33,Fail,Late,Poor,IT,7,5,2,NO,0,0,1
Pooja,17,Female,63,Pass,On Time,Good,CSE,6,4,0,NO,1,1,0
Jeeva,19,Male,35,Fail,On Time,Average,IT,7,5,3,NO,0,0,1
Karthik,19,Male,80,Pass,On Time,Average,MECH,7,4,0,YES,1,1,0
Prakash,17,Male,63,Pass,On Time,Average,ECE,6,5,0,YES,0,1,0
Aishwarya,17,Female,35,Fail,On Time,Poor,IT,7,4,2,NO,1,0,1
Kiran,17,Male,78,Pass,Late,Average,CSE,5,5,0,NO,0,1,0
Aparna,19,Female,33,Fail,On Time,Poor,ECE,5,4,3,NO,0,0,1
Praveen,19,Male,68,Pass,On Time,Excellent,MECH,7,5,0,YES,0,1,0
Ishwarya,18,Female,47,Fail,Late,Average,IT,5,4,2,NO,0,0,1
Santhiya,20,Female,37,Fail,On Time,Poor,CSE,8,5,2,NO,0,0,1
Bhaskar,20,Male,42,Fail,Late,Average,ECE,8,5,2,NO,1,1,1
Vignesh,19,Male,74,Pass,Late,Excellent,CSE,4,4,0,YES,0,1,0
Mahalakshmi,18,Female,30,Fail,On Time,Poor,EEE,6,5,2,NO,1,0,1
Bharath,19,Male,64,Pass,Late,Good,CSE,6,3,0,YES,0,1,0
Siddharth,18,Male,48,Fail,Late,Average,IT,6,4,2,NO,1,0,1
Kavin,18,Male,100,Pass,Late,Average,MECH,5,5,0,YES,0,2,0
Sandhya,19,Female,41,Fail,Late,Average,MECH,4,4,3,NO,1,0,1
Santosh,17,Male,61,Pass,On Time,Excellent,IT,7,3,0,YES,0,1,0
Sangeetha,17,Female,35,Fail,On Time,Poor,EEE,7,5,3,YES,1,0,1
Suresh,20,Male,48,Fail,Late,Average,ECE,6,4,2,YES,0,0,1
Meghala,17,Female,74,Pass,Late,Average,EEE,6,4,0,NO,1,1,0
Sowmiya,20,Female,31,Fail,Late,Poor,MECH,6,5,2,NO,0,0,1
Bala,17,Male,71,Pass,Late,Excellent,EEE,7,4,0,YES,0,1,0
Keerthi,17,Female,40,Fail,On Time,Average,MECH,8,4,2,NO,0,0,1
